id,tz,sleep_from,sleep_to,sched,hours,rating,comment,framerate,snore,noise,cycles,deepsleep,lenadjust,geo,tags
1677981180913,Europe/Amsterdam,2023-03-05 02:53:00,2023-03-05 10:12:00,2023-03-05 11:00:00,7.33,0.0, #watch   #geo1,10008,1140,0.031494033,7,0.4318182,-32,e08d6816,"watch,geo1"
1677890166105,Europe/Amsterdam,2023-03-04 01:36:00,2023-03-04 09:30:00,2023-03-04 09:30:00,7.9,0.0, #watch  #geo1,10008,900,0.4738431,0,-1.0,-19,e08d6816,"watch,geo1"
1677799042156,Europe/Amsterdam,2023-03-03 00:17:00,2023-03-03 07:52:00,2023-03-03 08:00:00,7.59,0.0, \n 		 #watch    #geo1,10008,1020,0.04635494,8,0.41706043,-18,e08d6816,"watch,geo1"
1677715068342,Europe/Amsterdam,2023-03-02 00:57:00,2023-03-02 07:17:00,2023-03-02 07:20:00,6.33,0.0, \n 		 #watch     #geo1,10008,300,0.032173645,4,0.23684211,-11,e08d6816,"watch,geo1"
1677630216345,Europe/Amsterdam,2023-03-01 01:23:00,2023-03-01 07:23:00,2023-03-01 07:20:00,6.0,0.0, \n 		 #watch  #geo1,10008,630,0.030975096,6,0.6388733,-37,e08d6816,"watch,geo1"
1677539524541,Europe/Amsterdam,2023-02-28 00:12:00,2023-02-28 07:26:00,2023-02-28 07:20:00,7.25,0.0, \n 		 #watch  #geo1,10008,2460,0.046911538,7,0.4090909,-17,e08d6816,"watch,geo1"
1677455985610,Europe/Amsterdam,2023-02-27 00:59:00,2023-02-27 07:26:00,2023-02-27 07:20:00,6.44,0.0, \n 		 #watch       #geo1,10008,1110,0.020459274,-1,-1.0,-22,e08d6816,"watch,geo1"
1677368021225,Europe/Amsterdam,2023-02-26 00:33:00,2023-02-26 09:26:00,2023-02-26 08:20:00,8.89,0.0, \n 		 #watch       #geo1,10008,840,0.07723628,6,0.26168224,-89,e08d6816,"watch,geo1"
1677278267014,Europe/Amsterdam,2023-02-24 23:37:00,2023-02-25 08:31:00,2023-02-25 08:20:00,8.9,0.0, \n 		 #watch     #geo1,10008,360,0.037711263,8,0.4597701,-14,e08d6816,"watch,geo1"
1677193850598,Europe/Amsterdam,2023-02-24 00:10:00,2023-02-24 07:46:00,2023-02-24 08:00:00,7.6,0.0, \n 		 #watch         #geo1,10008,2520,0.040954437,6,0.3152174,-11,e08d6816,"watch,geo1"
1677108759851,Europe/Amsterdam,2023-02-23 00:32:00,2023-02-23 07:10:00,2023-02-23 07:20:00,6.63,0.0, \n 		 #watch  #geo1,10008,1260,0.07035708,3,0.275,-41,e08d6816,"watch,geo1"
1677019645693,Europe/Amsterdam,2023-02-21 23:47:00,2023-02-22 07:13:00,2023-02-22 07:20:00,7.44,0.0, \n 		 #watch   #geo1,10008,480,0.07460863,5,0.3810499,-24,e08d6816,"watch,geo1"
1676933987090,Europe/Amsterdam,2023-02-20 23:59:00,2023-02-21 07:20:00,2023-02-21 07:20:00,7.35,0.0, \n 		 #watch  #geo1,10008,60,0.039708104,9,0.38565055,-8,e08d6816,"watch,geo1"
1676848163632,Europe/Amsterdam,2023-02-20 00:09:00,2023-02-20 07:26:00,2023-02-20 07:20:00,7.28,0.0, \n 		 #watch #newmoon     #geo1,10008,60,0.04453541,5,0.36363637,-13,e08d6816,"watch,newmoon,geo1"
1676769967582,Europe/Amsterdam,2023-02-19 02:26:00,2023-02-19 10:31:00,2023-02-19 10:20:00,8.1,0.0, \n 		 #watch     #geo1,10008,450,0.047483888,8,0.37755102,-22,e08d6816,"watch,geo1"
1676677139339,Europe/Amsterdam,2023-02-18 00:38:00,2023-02-18 09:09:00,2023-02-18 09:00:00,8.51,0.0, \n 		 #watch   #geo1,10008,1860,0.057394266,8,0.4,-32,e08d6816,"watch,geo1"
1676614100830,Europe/Amsterdam,2023-02-17 07:08:00,2023-02-17 07:35:00,2023-02-17 07:23:00,0.45,0.0,Nap length 0:15  #geo1,10008,0,0.106245086,0,0.0,-14,e08d6816,geo1
1676586182154,Europe/Amsterdam,2023-02-16 23:23:00,2023-02-17 07:08:00,2023-02-17 07:20:00,7.75,0.0, \n 		 #watch  #geo1,10008,420,0.06254965,7,0.3332249,-71,e08d6816,"watch,geo1"
1676502403204,Europe/Amsterdam,2023-02-16 00:06:00,2023-02-16 07:26:00,2023-02-16 07:20:00,7.32,0.0, \n 		 #watch  #geo1,10008,930,0.06350419,6,0.4090909,-37,e08d6816,"watch,geo1"
1676417307899,Europe/Amsterdam,2023-02-15 00:28:00,2023-02-15 07:26:00,2023-02-15 07:20:00,6.97,0.0, \n 		 #watch     #geo1,10008,90,0.027051346,5,0.3690476,-11,e08d6816,"watch,geo1"
1676329575179,Europe/Amsterdam,2023-02-14 00:06:00,2023-02-14 07:07:00,2023-02-14 07:20:00,7.02,0.75, \n 		 #watch  #geo1,10008,570,0.053351186,7,0.35714287,-31,e08d6816,"watch,geo1"
1676241653278,Europe/Amsterdam,2023-02-12 23:40:00,2023-02-13 06:48:00,2023-02-13 07:00:00,7.13,0.0, \n 		 #watch #love  #geo1,10008,360,0.05901771,6,0.3255814,-30,e08d6816,"watch,love,geo1"
1676168003938,Europe/Amsterdam,2023-02-12 03:13:00,2023-02-12 10:47:00,2023-02-12 10:30:00,7.57,0.0, \n 		 #watch   #geo1,10008,930,0.017379066,8,0.53968257,-68,e08d6816,"watch,geo1"
1676075828375,Europe/Amsterdam,2023-02-11 01:37:00,2023-02-11 09:47:00,2023-02-11 09:30:00,8.17,0.0, \n 		 #watch  #geo1,10008,210,0.05058143,7,0.41836736,-108,e08d6816,"watch,geo1"
